Aliment,Calories,Fibres,Glucides,Gras,IG,CG,Proteines,Famille_regroupee
"Langoustine, bouillie/cuite é l'eau",90.0,0.0,0.0,0.98,50.0,0.0,19.0,Produits animaux
"Coquille Saint-Jacques, noix, crue",83.6,0.0,1.15,0.84,50.0,0.6,18.0,Produits animaux
"Pecten d'Amérique ou Peigne du canada, noix, crue",81.3,0.0,1.78,0.54,50.0,0.9,18.0,Produits animaux
"Pétoncle ou Peigne du Pérou, noix, crue",88.7,0.0,3.1,0.7,50.0,1.6,18.0,Produits animaux
Whisky,252.0,0.0,0.096,0.0,50.0,0.0,0.0,Boissons
"Araignée de mer, cuite",150.0,0.0,0.0,3.8,50.0,0.0,18.0,Produits animaux
"Crevette rose, crue",92.3,0.0,0.0,0.53,50.0,0.0,20.0,Produits animaux
Vin doux,0.0,0.0,10.5,0.0,50.0,5.2,0.0,Boissons
"Crevette pattes blanches, cuite",150.0,0.0,0.0,0.96,50.0,0.0,20.0,Produits animaux
"Crevette géante tigrée, cuite",150.0,0.0,0.0,0.98,50.0,0.0,20.0,Produits animaux
"Crevette royale rose, cuite",150.0,0.0,0.0,1.18,50.0,0.0,20.0,Produits animaux
Apéritif é base de vin ou vermouth,0.0,0.0,11.3,0.0,50.0,5.6,0.0,Boissons
"Poulpe, cuit",156.0,0.0,4.4,2.08,50.0,2.2,18.0,Produits animaux
Vodka,242.0,0.0,0.0,0.0,50.0,0.0,0.0,Boissons
"Fruits de mer, cuits, surgelés",79.5,0.0,2.83,1.57,45.0,1.3,18.0,Produits animaux
"Moules é la sauce catalane ou escabéche (tomate), appertisée, égouttée",145.0,2.0,5.0,7.9,15.0,0.8,18.0,Produits animaux
Moules mariniéres (oignons et vin blanc),92.0,0.53,7.43,2.24,50.0,3.7,10.0,Plats préparés
"Moules farcies (matiére grasse, persilladeé), préemballées, crues",284.0,1.26,4.43,24.8,50.0,2.2,10.0,Plats préparés
"Calmar ou calamar ou encornet, frit ou poélé avec matiére grasse",173.0,0.0,8.45,7.48,50.0,4.2,18.0,Produits animaux
"Escargot, sans matiére grasse ajoutée, cuit",80.0,0.0,0.23,1.4,50.0,0.1,16.0,Produits animaux
"Pastis, prét é boire (1+ 5)",27.6,0.0,6.89,0.0,50.0,3.4,0.0,Boissons
Apéritif anisé sans alcool,0.0,1.0,1.0,0.0,50.0,0.5,0.0,Boissons
Cocktail é base de rhum,0.0,0.3,22.5,2.19,50.0,11.2,0.0,Boissons
Cocktail é base de whisky,0.0,0.0,15.9,0.02,50.0,8.0,0.0,Boissons
Alcool pur,660.0,0.0,0.0,0.0,50.0,0.0,0.0,Boissons
Marsala,211.0,0.0,27.9,0.0,50.0,14.0,0.0,Boissons
Marsala aux oeufs,153.0,0.0,12.4,0.0,50.0,6.2,0.0,Boissons
Sangria,0.0,0.0,10.3,0.05,50.0,5.2,0.0,Boissons
Kir (au vin blanc),0.0,0.0,7.36,0.0,50.0,3.7,0.0,Boissons
Kir royal (au champagne),0.0,0.0,7.97,0.0,50.0,4.0,0.0,Boissons
Créme de cassis,245.0,0.0,41.0,0.0,50.0,20.5,0.0,Boissons
"Cocktail type punch, 16% alcool",0.0,0.5,17.8,0.6,50.0,8.9,0.0,Boissons
"Eau de vie de vin, type armagnac, cognac",228.0,0.0,1.0,0.0,50.0,0.5,0.0,Boissons
"Eau de vie, type calvados",0.0,0.0,0.0,0.0,50.0,0.0,0.0,Boissons
Saké ou Alcool de riz,133.0,0.0,5.0,0.0,70.0,3.5,0.0,Boissons
"Spécialité végétale type fromage é tartiner, au soja, préemballée",170.0,0.5,1.05,13.1,0.0,0.0,20.0,Produits laitiers
"Spécialité végétale type fromage, é la noix de cajou, préemballée",441.0,2.6,15.2,35.3,0.0,0.0,20.0,Produits laitiers
"Spécialité végétale type fromage en tranche ou répé, sans soja, préemballée",272.0,2.3,21.2,20.1,0.0,0.0,20.0,Produits laitiers
"Spécialité végétale type jambon cuit, préemballée",242.0,3.2,4.13,11.1,50.0,2.1,18.0,Produits animaux
"Spécialité végétale type pété, préemballée",197.0,2.96,9.45,15.4,50.0,4.7,18.0,Produits animaux
"Ail, cru",111.0,5.8,18.6,0.5,50.0,9.3,0.0,Aides culinaires
"Bouillon de boeuf, déshydraté",240.0,0.65,19.7,13.3,50.0,9.8,0.0,Aides culinaires
"Cerfeuil, frais",39.9,2.55,3.63,0.6,45.0,1.6,0.0,Aides culinaires
"Ciboule ou Ciboulette, fraéche",29.7,3.19,2.1,0.52,50.0,1.0,0.0,Aides culinaires
"Cornichon, au vinaigre",19.4,1.5,0.78,0.6,50.0,0.4,0.0,Aides culinaires
"Curry, poudre",301.0,53.2,2.63,14.0,50.0,1.3,0.0,Aides culinaires
"Gingembre, poudre",335.0,14.1,58.3,4.24,50.0,29.2,0.0,Aides culinaires
"Gélatine, séche",348.0,0.0,0.0,0.1,50.0,0.0,0.0,Aides culinaires
"Ketchup, préemballé",99.0,1.15,21.4,0.19,50.0,10.7,0.0,Aides culinaires
Levure alimentaire,334.0,22.5,21.8,4.5,50.0,10.9,0.0,Aides culinaires
"Levure de boulanger, compressée",100.0,7.15,11.9,1.9,50.0,6.0,0.0,Aides culinaires
Moutarde,152.0,1.0,4.33,11.2,50.0,2.2,0.0,Aides culinaires
"Persil, frais",43.0,4.3,3.48,0.63,45.0,1.6,0.0,Aides culinaires
"Poivre noir, poudre",330.0,25.7,39.5,7.5,50.0,19.8,0.0,Aides culinaires
"Raifort, cru",100.0,7.5,13.0,0.7,50.0,6.5,0.0,Aides culinaires
"Sel blanc alimentaire, non iodé, non fluoré (marin, ignigéne ou gemme)",100.0,0.0,0.0,0.0,50.0,0.0,0.0,Aides culinaires
Vinaigre,22.6,0.0,0.62,0.1,50.0,0.3,0.0,Aides culinaires
"Poivre blanc, poudre",310.0,26.2,48.3,2.11,50.0,24.2,0.0,Aides culinaires
Moutarde é l'ancienne,142.0,4.5,2.2,9.9,50.0,1.1,0.0,Aides culinaires
"Ail séché, poudre",344.0,9.45,62.8,0.77,50.0,31.4,0.0,Aides culinaires
"Persil, séché",291.0,29.7,16.8,5.34,50.0,8.4,0.0,Aides culinaires
"Cannelle, poudre",243.0,53.1,27.5,1.22,50.0,13.8,0.0,Aides culinaires
"Coriandre, graine",346.0,41.9,13.0,17.8,50.0,6.5,0.0,Aides culinaires
"Menthe, fraéche",57.6,7.4,5.3,0.84,50.0,2.6,0.0,Aides culinaires
"Menthe, séchée",283.0,29.8,22.2,6.03,50.0,11.1,0.0,Aides culinaires
"Basilic, séché",244.0,37.7,10.1,4.07,50.0,5.0,0.0,Aides culinaires
"Basilic, frais",34.8,3.47,2.55,0.47,45.0,1.1,0.0,Aides culinaires
"Marjolaine, séchée",276.0,40.3,20.3,7.04,50.0,10.2,0.0,Aides culinaires
"Origan, séché",265.0,42.5,26.4,4.28,50.0,13.2,0.0,Aides culinaires
"Romarin, séché",328.0,42.6,21.5,15.2,50.0,10.8,0.0,Aides culinaires
"Sauge, séchée",320.0,40.3,20.4,12.8,50.0,10.2,0.0,Aides culinaires
"Thym, séché",285.0,37.0,26.9,7.43,50.0,13.4,0.0,Aides culinaires
Safran,352.0,3.9,61.5,5.85,50.0,30.8,0.0,Aides culinaires
"Cépres, au vinaigre",100.0,3.6,3.5,0.86,50.0,1.8,0.0,Aides culinaires
"Cumin, graine",427.0,10.5,33.7,22.3,50.0,16.8,0.0,Aides culinaires
Tapenade,100.0,3.7,2.6,23.0,50.0,1.3,0.0,Aides culinaires
Sel au céleri,49.0,1.19,4.14,2.53,50.0,2.1,0.0,Aides culinaires
"Levure de boulanger, déshydratée",100.0,23.3,17.9,6.37,50.0,9.0,0.0,Aides culinaires
Levure chimique ou Poudre é lever,100.0,1.9,33.2,0.2,50.0,16.6,0.0,Aides culinaires
Noix de muscade,504.0,20.8,28.5,36.3,50.0,14.2,0.0,Aides culinaires
Paprika,319.0,34.9,19.1,12.9,50.0,9.6,0.0,Aides culinaires
"Sauce tartare, préemballée",100.0,0.47,4.6,55.0,50.0,2.3,0.0,Aides culinaires
Clou de girofle,335.0,33.9,31.6,13.0,50.0,15.8,0.0,Aides culinaires
"Laurier, feuille",353.0,26.3,48.6,8.36,50.0,24.3,0.0,Aides culinaires
"Mayonnaise (70% MG min.), préemballée",100.0,0.32,2.62,75.2,50.0,1.3,0.0,Aides culinaires
Oignon au vinaigre,100.0,1.8,2.5,0.2,50.0,1.2,0.0,Aides culinaires
Quatre épices,348.0,21.6,50.5,8.69,50.0,25.2,0.0,Aides culinaires
"Vanille, gousse",100.0,0.0,0.0,0.0,50.0,0.0,0.0,Aides culinaires
"Sel blanc alimentaire, iodé, non fluoré (marin, ignigéne ou gemme)",100.0,0.0,0.0,0.0,50.0,0.0,0.0,Aides culinaires
"Herbes de Provence, séchées",283.0,40.1,23.0,7.2,50.0,11.5,0.0,Aides culinaires
"Pavot, graine",551.0,14.8,13.7,43.1,50.0,6.8,0.0,Aides culinaires
"Sarriette, séchée",264.0,45.7,23.0,5.91,50.0,11.5,0.0,Aides culinaires
"Carvi, graine",334.0,38.0,11.9,14.6,50.0,6.0,0.0,Aides culinaires
"Vanille, extrait alcoolique",240.0,0.0,2.41,0.0,50.0,1.2,0.0,Aides culinaires
"Fenouil, graine",326.0,39.8,12.5,14.9,50.0,6.2,0.0,Aides culinaires
"Romarin, frais",121.0,14.1,6.6,5.86,45.0,3.0,0.0,Aides culinaires
"Sauge, fraéche",36.7,7.0,0.97,0.5,50.0,0.5,0.0,Aides culinaires
"Thym, frais",107.0,14.0,10.5,1.68,45.0,4.7,0.0,Aides culinaires
"Ketchup allégé en sucres, préemballé",100.0,1.29,14.6,0.11,50.0,7.3,0.0,Aides culinaires
"Gingembre, racine crue",32.9,2.7,3.4,1.1,50.0,1.7,0.0,Aides culinaires
"Cardamome, poudre",321.0,28.0,40.5,6.7,50.0,20.2,0.0,Aides culinaires
"Fenugrec, graine",350.0,24.6,33.8,6.41,50.0,16.9,0.0,Aides culinaires
"Mayonnaise é teneur réduite en matiére grasse ou Mayonnaise allégée, préemballée",100.0,0.23,8.98,29.9,50.0,4.5,0.0,Aides culinaires
Herbes aromatiques fraéches (aliment moyen),49.4,5.64,4.15,0.8,50.0,2.1,0.0,Aides culinaires
Epice (aliment moyen),345.0,25.9,37.7,10.4,50.0,18.8,0.0,Aides culinaires
"Fleur de sel, non iodée, non fluorée",100.0,0.0,0.0,0.0,50.0,0.0,0.0,Aides culinaires
"Sel marin gris, non iodé, non fluoré",100.0,0.0,0.0,0.0,50.0,0.0,0.0,Aides culinaires
"Agar (algue), cru",100.0,0.5,6.25,0.03,50.0,3.1,0.0,Aides culinaires
"Agar (algue), séché",100.0,0.0,0.0,0.3,50.0,0.0,0.0,Aides culinaires
"Spiruline (Spirulina sp.), séchée ou déshydratée",100.0,3.6,20.3,7.72,50.0,10.2,0.0,Aides culinaires
Poivre de Cayenne ou piment de Cayenne,376.0,27.2,29.4,17.3,50.0,14.7,0.0,Aides culinaires
"Curcuma, poudre",291.0,22.7,44.4,3.25,50.0,22.2,0.0,Aides culinaires
Vinaigre de cidre,100.0,0.0,0.93,0.0,50.0,0.5,0.0,Aides culinaires
Vinaigre balsamique,125.0,0.5,25.8,0.6,50.0,12.9,0.0,Aides culinaires
"Estragon, frais",44.0,6.2,4.1,0.0,45.0,1.8,0.0,Aides culinaires
"Aneth, frais",48.2,3.5,3.9,1.1,45.0,1.8,0.0,Aides culinaires
"Coriandre, fraiche",22.3,2.8,0.87,0.52,50.0,0.4,0.0,Aides culinaires
"Sel blanc alimentaire, iodé, fluoré é 25 mg /100 g (marin, ignigéne ou gemme)",100.0,0.0,0.0,0.0,50.0,0.0,0.0,Aides culinaires
"Cornichon, aigre-doux",36.0,1.5,5.0,0.35,50.0,2.5,0.0,Aides culinaires
"Vanille, extrait aqueux",57.7,0.0,14.4,0.0,50.0,7.2,0.0,Aides culinaires
"Sauce barbecue, préemballée",136.0,1.2,30.3,0.6,50.0,15.2,0.0,Aides culinaires
"Sauce béchamel, préemballée",100.0,1.3,6.2,7.4,50.0,3.1,0.0,Aides culinaires
"Sauce béarnaise, préemballée",100.0,0.48,4.52,47.7,50.0,2.3,0.0,Aides culinaires
"Sauce soja, préemballée",45.5,0.86,3.64,0.1,50.0,1.8,0.0,Aides culinaires
"Sauce hollandaise, préemballée",100.0,0.5,4.58,19.8,50.0,2.3,0.0,Aides culinaires
"Sauce tomate aux oignons, préemballée",100.0,2.17,7.69,4.18,15.0,1.2,0.0,Aides culinaires
"Sauce vinaigrette é l'huile d'olive (50 é 75% d'huile), préemballée",100.0,0.32,4.54,52.8,50.0,2.3,0.0,Aides culinaires
"Sauce vinaigrette allégée en MG (25 é 50% d'huile), préemballée",100.0,0.5,2.39,26.4,50.0,1.2,0.0,Aides culinaires
"Sauce vinaigrette (50 é 75% d'huile), préemballée",100.0,0.34,4.56,52.4,50.0,2.3,0.0,Aides culinaires
"Sauce armoricaine, préemballée",100.0,0.0,3.95,6.6,50.0,2.0,0.0,Aides culinaires
"Harissa (sauce condimentaire), préemballée",100.0,5.1,7.3,2.9,50.0,3.6,0.0,Aides culinaires
"Sauce tomate é la viande ou Sauce bolognaise, préemballée",100.0,2.29,7.27,4.81,15.0,1.1,0.0,Aides culinaires
"Sauce au poivre vert, préemballée",100.0,1.3,5.3,6.1,50.0,2.6,0.0,Aides culinaires
"Sauce bourguignonne, préemballée",100.0,0.52,7.85,43.9,50.0,3.9,0.0,Aides culinaires
"Sauce madére, préemballée",100.0,0.5,3.6,2.2,50.0,1.8,0.0,Aides culinaires
"Sauce é l'échalote é la créme, préemballée",100.0,0.9,11.9,5.53,50.0,6.0,0.0,Aides culinaires
"Sauce carbonara, préemballée",100.0,2.65,4.7,12.8,50.0,2.4,0.0,Aides culinaires
"Sauce chasseur, préemballée",100.0,0.43,4.66,1.61,50.0,2.3,0.0,Aides culinaires
"Sauce au curry, préemballée",77.4,1.28,10.6,3.16,50.0,5.3,0.0,Aides culinaires
"Sauce au beurre blanc, préemballée",100.0,0.5,3.4,21.4,50.0,1.7,0.0,Aides culinaires
"Sauce béchamel, maison",100.0,0.2,8.97,10.6,50.0,4.5,0.0,Aides culinaires
"Sauce moutarde, préemballée",100.0,2.0,3.3,22.8,50.0,1.6,0.0,Aides culinaires
"Sauce au beurre, préemballée",100.0,1.0,5.2,17.9,50.0,2.6,0.0,Aides culinaires
Sauce é la créme,100.0,0.17,5.9,5.55,50.0,3.0,0.0,Aides culinaires
"Sauce aux champignons, préemballée",100.0,2.25,6.3,6.26,50.0,3.2,0.0,Aides culinaires
Sauce é la créme aux épices,100.0,0.65,6.2,5.75,50.0,3.1,0.0,Aides culinaires
Sauce é la créme aux herbes,100.0,0.4,5.5,5.49,50.0,2.8,0.0,Aides culinaires
"Sauce aigre douce, préemballée",100.0,0.97,20.1,0.2,50.0,10.0,0.0,Aides culinaires
Sauce au vin rouge,100.0,0.46,7.0,2.22,50.0,3.5,0.0,Aides culinaires
Sauce au yaourt,100.0,0.8,5.04,6.91,30.0,1.5,0.0,Aides culinaires
"Sauce américaine, préemballée",100.0,0.2,9.48,41.8,50.0,4.7,0.0,Aides culinaires
"Sauce aéoli, préemballée",100.0,0.42,4.7,41.0,50.0,2.4,0.0,Aides culinaires
"Fond de veau pour sauces et cuisson, déshydraté",343.0,2.1,59.5,7.4,50.0,29.8,0.0,Aides culinaires
"Sauce basquaise ou Sauce aux poivrons, préemballée",63.1,2.09,7.41,2.71,50.0,3.7,0.0,Aides culinaires
"Fond de volaille pour sauces et cuisson, déshydraté",341.0,1.3,66.3,4.9,50.0,33.2,0.0,Aides culinaires
"Court-bouillon pour poissons, déshydraté",260.0,2.5,7.0,23.0,0.0,0.0,0.0,Aides culinaires
"Bouillon de volaille, déshydraté",233.0,0.58,20.8,11.5,50.0,10.4,0.0,Aides culinaires
"Gelée au madére, déshydratée",248.0,0.1,17.0,0.2,50.0,8.5,0.0,Aides culinaires
Gelée au madére,11.3,0.004,0.8,0.01,50.0,0.4,0.0,Aides culinaires
"Sauce tomate aux champignons, préemballée",100.0,2.35,7.78,2.68,15.0,1.2,0.0,Aides culinaires
"Sauce tomate aux olives, préemballée",100.0,3.34,7.5,7.32,15.0,1.1,0.0,Aides culinaires
"Sauce pesto, préemballée",370.0,2.5,6.6,35.4,50.0,3.3,0.0,Aides culinaires
"Sauce au poivre, chaude, préemballée",100.0,1.13,4.8,14.8,50.0,2.4,0.0,Aides culinaires
Sauce (aliment moyen),100.0,0.87,6.04,25.7,50.0,3.0,0.0,Aides culinaires
"Sauce crudités ou Sauce salade, préemballée",100.0,0.35,5.3,30.9,15.0,0.8,0.0,Aides culinaires
"Sauce au fromage pour risotto ou pétes, préemballée",100.0,1.4,4.24,9.53,0.0,0.0,0.0,Aides culinaires
"Sauce au roquefort, préemballée",100.0,0.6,4.4,10.9,50.0,2.2,0.0,Aides culinaires
"Sauce aux champignons et é la créme, préemballée",100.0,0.5,6.2,5.0,50.0,3.1,0.0,Aides culinaires
"Sauce Nuoc Mém ou Sauce au poisson, préemballée",81.2,0.2,10.9,0.0,0.0,0.0,0.0,Aides culinaires
"Sauce burger, préemballée",100.0,0.48,13.3,33.8,50.0,6.6,0.0,Aides culinaires
"Sauce crudités ou Sauce salade, allégée en matiére grasse, préemballée",100.0,0.5,7.26,14.3,15.0,1.1,0.0,Aides culinaires
"Sauce grand veneur, préemballée",100.0,0.0,8.45,7.0,50.0,4.2,0.0,Aides culinaires
"Sauce indienne type tandoori ou tikka masala, préemballée",100.0,1.9,14.3,1.7,50.0,7.2,0.0,Aides culinaires
"Sauce kebab, préemballée",100.0,0.1,9.15,27.6,50.0,4.6,0.0,Aides culinaires
"Sauce rouille, préemballée",100.0,0.0,1.0,41.4,50.0,0.5,0.0,Aides culinaires
"Sauce tomate aux petits légumes, préemballée",100.0,2.12,7.57,2.9,15.0,1.1,0.0,Aides culinaires
"Sauce tomate au fromage, préemballée",100.0,2.41,8.09,14.2,15.0,1.2,0.0,Aides culinaires
"Sauce pesto rosso, préemballée",100.0,4.15,8.58,27.0,50.0,4.3,0.0,Aides culinaires
"Sauce au poivre, condimentaire, froide, préemballée",100.0,0.5,5.8,49.3,50.0,2.9,0.0,Aides culinaires
Sauce froide (aliment moyen),100.0,0.61,5.73,31.6,50.0,2.9,0.0,Aides culinaires
"Préparation culinaire é base de soja, type ""créme de soja""",100.0,0.0,2.03,14.7,50.0,1.0,0.0,Aides culinaires
Caviar de tomates,218.0,3.5,6.8,19.2,15.0,1.0,0.0,Aides culinaires
"Sauce soja sucrée, préemballée",100.0,0.0,0.0,0.5,50.0,0.0,0.0,Aides culinaires
"Sauce pour nems é base de nuoc-mam dilué, préemballée",135.0,0.25,31.2,0.5,50.0,15.6,0.0,Aides culinaires
Sauce chaude (aliment moyen),100.0,1.68,7.03,7.45,50.0,3.5,0.0,Aides culinaires
"Sauce végétale type bolognaise, préemballée",68.0,2.46,5.05,3.0,50.0,2.5,0.0,Aides culinaires
Vinaigre de vin rouge,21.6,0.0,0.0,0.0,50.0,0.0,0.0,Aides culinaires
"Sauce au chocolat, préemballée",277.0,3.0,26.2,16.8,50.0,13.1,0.0,Aides culinaires
"Sauce teriyaki, préemballée",100.0,0.1,16.0,1.06,50.0,8.0,0.0,Aides culinaires
"Sauce é l'oseille, préemballée",100.0,3.2,1.7,15.0,50.0,0.8,0.0,Aides culinaires
"Fond de veau, préemballé",40.9,0.1,2.4,2.05,50.0,1.2,0.0,Aides culinaires
"Ail, réti/cuit au four",127.0,2.7,23.8,0.5,50.0,11.9,0.0,Aides culinaires
"Ail, sauté/poélé, sans matiére grasse",130.0,5.8,22.0,0.4,50.0,11.0,0.0,Aides culinaires
"édulcorant é l'aspartame, en pastilles",216.0,2.2,69.3,0.0,50.0,34.6,0.0,Produits sucrés
Bicarbonate de soude,0.4,0.0,0.0,0.0,50.0,0.0,0.0,Aides culinaires
"édulcorant é l'aspartame, en poudre",400.0,0.25,94.7,0.25,50.0,47.4,0.0,Produits sucrés
Vermicelles multicolores,400.0,0.5,93.0,5.0,50.0,46.5,0.0,Produits sucrés
"Camembert, sans précision",281.0,0.0,0.0,22.5,50.0,0.0,20.0,Produits laitiers
Fromage é péte molle et croéte fleurie (type camembert),361.0,0.0,0.0,32.3,0.0,0.0,20.0,Produits laitiers
Camembert au lait cru,269.0,0.0,0.0,20.3,30.0,0.0,20.0,Produits laitiers
Fromage é péte molle et croéte fleurie double créme environ 30% MG,334.0,0.0,0.0,29.4,0.0,0.0,20.0,Produits laitiers
Fromage rond é péte molle et croéte fleurie 5 é 11% MG type camembert allégé en matiére grasse,175.0,0.0,0.0,9.3,0.0,0.0,20.0,Produits laitiers
Coulommiers,280.0,0.0,0.0,22.8,50.0,0.0,20.0,Produits laitiers
Fromage rond é péte molle et croéte fleurie environ 11% MG type coulommiers allégé en matiére grasse,189.0,0.0,0.0,11.0,0.0,0.0,20.0,Produits laitiers
Fromage rond é péte molle et croéte fleurie environ 5% MG type camembert allégé en matiére grasse,152.0,0.0,0.0,5.5,0.0,0.0,20.0,Produits laitiers
"Brie, sans précision",299.0,0.0,0.0,25.5,50.0,0.0,20.0,Produits laitiers
Brie de Meaux,273.0,0.0,0.0,20.7,50.0,0.0,20.0,Produits laitiers
Brie de Melun,290.0,0.0,0.0,22.2,50.0,0.0,20.0,Produits laitiers
Carré de l'Est,329.0,0.0,0.0,27.0,50.0,0.0,20.0,Produits laitiers
Chaource,277.0,0.0,0.0,22.9,50.0,0.0,20.0,Produits laitiers
Maroilles laitier,339.0,0.0,0.0,27.8,30.0,0.0,20.0,Produits laitiers
Maroilles fermier,351.0,0.0,0.0,29.5,50.0,0.0,20.0,Produits laitiers
Neufchétel,289.0,0.0,0.0,23.9,50.0,0.0,20.0,Produits laitiers
Fromage é péte molle triple créme environ 40% MG,377.0,0.0,0.0,37.5,0.0,0.0,20.0,Produits laitiers
Fromage é péte molle et croéte lavée (aliment moyen),322.0,0.0,0.0,26.5,0.0,0.0,20.0,Produits laitiers
"Fromage é péte molle et croéte lavée, allégé environ 13% MG",199.0,0.0,0.0,12.6,0.0,0.0,20.0,Produits laitiers
"Maroilles, sans précision",327.0,0.0,0.0,26.4,50.0,0.0,20.0,Produits laitiers
Livarot,303.0,0.0,0.0,22.6,50.0,0.0,20.0,Produits laitiers
époisses,292.0,0.0,0.0,24.5,50.0,0.0,20.0,Produits laitiers
Munster,345.0,0.0,0.0,29.0,50.0,0.0,20.0,Produits laitiers
Langres,283.0,0.0,0.0,23.8,50.0,0.0,20.0,Produits laitiers
Pont l'évéque,328.0,0.0,0.0,26.2,50.0,0.0,20.0,Produits laitiers
Reblochon,328.0,0.0,0.0,27.4,50.0,0.0,20.0,Produits laitiers
"Fromage é péte molle é croéte lavée, au lait pasteurisé (type Vieux Pané)",313.0,0.0,0.0,25.7,30.0,0.0,20.0,Produits laitiers
Saint-Marcellin,281.0,0.0,0.0,24.3,50.0,0.0,20.0,Produits laitiers
Fromage é péte molle et croéte mixte (lavée et fleurie) colorée,334.0,0.0,0.0,29.0,0.0,0.0,20.0,Produits laitiers
